date,station_id,time,weather observation
20230101,488200,07:00am,mist
20230102,488200,07:00am,mist
20230102,488200,10:00pm,continuous light rain
20230102,488250,04:00am,continuous light rain
20230103,488250,07:00am,continuous light drizzle
20230103,488250,10:00am,clouds developing
20230103,488250,01:00pm,clouds developing
20230103,488200,04:00am,mist
20230104,488200,07:00am,mist
20230104,488200,07:00pm,haze
20230105,488200,07:00am,mist
20230105,488200,04:00pm,haze
20230107,488200,07:00am,mist
20230108,488250,07:00am,mist
20230108,488200,10:00am,haze
20230108,488200,04:00am,mist
20230109,488200,07:00am,mist
20230109,488200,10:00am,haze
20230109,488200,01:00pm,haze
20230109,488200,04:00pm,haze
20230109,488200,07:00pm,haze
20230109,488200,10:00pm,mist
20230109,488200,01:00am,mist
20230109,488200,04:00am,mist
20230110,488200,07:00am,mist
20230110,488250,10:00am,clouds developing
20230110,488250,01:00pm,clouds developing
20230110,488200,04:00pm,mist
20230110,488200,07:00pm,continuous light rain
20230110,488200,10:00pm,continuous light rain
20230110,488200,01:00am,continuous light rain
20230110,488200,04:00am,continuous light rain
20230111,488200,07:00am,mist
20230111,488200,10:00am,mist
20230111,488200,01:00pm,mist
20230111,488200,04:00pm,mist
20230111,488200,07:00pm,mist
20230111,488200,10:00pm,mist
20230112,488200,07:00am,mist
20230112,488200,10:00am,mist
20230112,488200,01:00pm,mist
20230112,488200,04:00pm,mist
20230112,488200,01:00am,mist
20230113,488200,07:00am,continuous light drizzle
20230113,488200,07:00pm,mist
20230113,488200,10:00pm,mist
20230113,488200,01:00am,mist
20230114,488200,07:00am,mist
20230114,488200,10:00pm,haze
20230114,488200,01:00am,mist
20230114,488200,04:00am,mist
20230115,488200,07:00am,mist
20230115,488200,10:00am,mist
20230120,488200,07:00am,mist
20230120,488200,10:00pm,mist
20230120,488200,01:00am,mist
20230121,488200,07:00am,mist
20230121,488200,10:00am,haze
20230121,488200,10:00pm,mist
20230121,488200,01:00am,mist
20230121,488200,04:00am,mist
20230122,488200,07:00am,mist
20230122,488200,10:00am,mist
20230122,488200,01:00pm,haze
20230122,488200,07:00pm,mist
20230122,488200,10:00pm,mist
20230122,488200,01:00am,mist
20230122,488200,04:00am,mist
20230123,488200,07:00am,mist
20230123,488200,10:00am,mist
20230125,488200,01:00am,mist
20230126,488250,10:00pm,continuous light drizzle
20230126,488200,01:00am,mist
20230126,488250,04:00am,continuous light rain
20230127,488250,07:00am,clouds developing
20230129,488250,07:00am,mist
20230130,488200,07:00am,mist
20230130,488250,10:00am,mist
20230131,488200,07:00am,mist
20230131,488200,01:00am,mist
20230131,488200,04:00am,mist
