date,station_id,time,temperature
20190118,488200,07:00am,14.0°C
20190118,488200,08:00am,14.0°C
20190118,488200,09:00am,15.0°C
20190118,488200,10:00am,15.0°C
20190118,488200,11:00am,16.0°C
20190118,488200,12:30pm,16.0°C
20190118,488200,01:00pm,16.0°C
20190118,488200,02:00pm,17.0°C
20190118,488200,03:00pm,17.0°C
20190118,488200,04:00pm,17.0°C
20190118,488200,05:00pm,17.0°C
20190118,488200,06:00pm,16.0°C
20190118,488200,07:00pm,16.0°C
20190118,488200,08:00pm,16.0°C
20190118,488200,09:00pm,16.0°C
20190118,488200,10:00pm,15.0°C
20190118,488200,11:00pm,15.0°C
20190118,488200,12:00am,15.0°C
20190118,488200,01:00am,15.0°C
20190118,488200,02:00am,16.0°C
20190118,488200,03:00am,16.0°C
20190118,488200,04:00am,16.0°C
20190118,488200,05:00am,16.0°C
20190118,488200,06:00am,16.0°C
20190119,488200,07:00am,16.0°C
20190119,488200,08:00am,16.0°C
20190119,488200,09:00am,17.0°C
20190119,488200,10:00am,17.0°C
20190119,488200,11:00am,19.0°C
20190119,488200,12:00pm,19.0°C
20190119,488200,01:00pm,19.0°C
20190119,488200,02:00pm,20.0°C
20190119,488200,03:00pm,21.0°C
20190119,488200,04:00pm,21.0°C
20190119,488200,05:00pm,21.0°C
20190119,488200,06:00pm,20.0°C
20190119,488200,07:00pm,20.0°C
20190119,488200,08:00pm,19.0°C
20190119,488200,09:00pm,18.0°C
20190119,488200,10:00pm,19.0°C
20190119,488200,11:00pm,19.0°C
20190119,488200,12:00am,19.0°C
20190119,488200,01:00am,19.0°C
20190119,488200,02:00am,18.0°C
20190119,488200,03:00am,18.0°C
20190119,488200,04:00am,19.0°C
20190119,488200,05:00am,18.0°C
20190119,488200,06:00am,18.0°C
20190120,488200,07:00am,18.0°C
20190120,488200,08:00am,18.0°C
20190120,488200,09:00am,18.0°C
20190120,488200,10:00am,18.0°C
20190120,488200,11:00am,18.0°C
20190120,488200,12:00pm,18.0°C
20190120,488200,01:00pm,18.0°C
20190120,488200,02:00pm,19.0°C
20190120,488200,03:00pm,19.0°C
20190120,488200,04:00pm,20.0°C
20190120,488200,05:00pm,20.0°C
20190120,488200,06:00pm,19.0°C
20190120,488200,07:00pm,19.0°C
20190120,488200,08:00pm,19.0°C
20190120,488200,09:00pm,19.0°C
20190120,488200,10:00pm,19.0°C
20190120,488200,11:00pm,19.0°C
20190120,488200,12:00am,19.0°C
20190120,488200,01:00am,18.0°C
20190120,488200,02:00am,18.0°C
20190120,488200,03:00am,17.0°C
20190120,488200,04:00am,17.0°C
20190120,488200,05:00am,16.0°C
20190120,488200,06:00am,16.0°C
20190121,488200,07:00am,16.0°C
20190121,488200,08:00am,15.0°C
20190121,488200,09:00am,15.0°C
20190121,488200,10:00am,15.0°C
20190121,488200,11:00am,15.0°C
20190121,488200,12:00pm,15.0°C
20190121,488200,01:00pm,15.0°C
20190121,488200,02:00pm,16.0°C
20190121,488200,03:00pm,16.0°C
20190121,488200,04:00pm,16.0°C
20190121,488200,05:00pm,15.0°C
20190121,488200,06:00pm,15.0°C
20190121,488200,07:00pm,15.0°C
20190121,488200,08:00pm,15.0°C
20190121,488200,09:00pm,15.0°C
20190121,488200,10:00pm,15.0°C
20190121,488200,11:00pm,15.0°C
20190121,488200,12:00am,14.0°C
20190121,488200,01:00am,14.0°C
20190121,488200,02:00am,14.0°C
20190121,488200,03:00am,14.0°C
20190121,488200,04:00am,14.0°C
20190121,488200,05:00am,14.0°C
20190121,488200,06:00am,14.0°C
20190122,488200,07:00am,14.0°C
20190122,488200,08:00am,15.0°C
20190122,488200,09:00am,16.0°C
20190122,488200,11:00am,18.0°C
20190122,488200,12:00pm,19.0°C
20190122,488200,01:00pm,19.0°C
20190122,488200,02:00pm,18.0°C
20190122,488200,03:00pm,18.0°C
20190122,488200,04:00pm,18.0°C
20190122,488200,05:00pm,17.0°C
20190122,488200,06:00pm,15.0°C
20190122,488200,07:00pm,14.0°C
20190122,488200,08:00pm,14.0°C
20190122,488200,09:00pm,14.0°C
20190122,488200,10:00pm,14.0°C
20190122,488200,11:00pm,14.0°C
20190122,488200,12:00am,12.0°C
20190122,488200,01:00am,13.0°C
20190122,488200,02:00am,13.0°C
20190122,488200,03:00am,14.0°C
20190122,488200,04:00am,14.0°C
20190122,488200,05:00am,14.0°C
20190122,488200,06:00am,14.0°C
20190123,488200,07:00am,14.0°C
20190123,488200,08:00am,14.0°C
20190123,488200,09:00am,15.0°C
20190123,488200,10:00am,16.0°C
20190123,488200,11:00am,17.0°C
20190123,488200,12:00pm,18.0°C
20190123,488200,01:00pm,19.0°C
20190123,488200,02:00pm,19.0°C
20190123,488200,03:00pm,19.0°C
20190123,488200,04:00pm,19.0°C
20190123,488200,05:00pm,19.0°C
20190123,488200,06:00pm,18.0°C
20190123,488200,07:00pm,18.0°C
20190123,488200,08:00pm,18.0°C
20190123,488200,09:00pm,17.0°C
20190123,488200,10:00pm,17.0°C
20190123,488200,11:00pm,17.0°C
20190123,488200,12:00am,17.0°C
20190123,488200,01:00am,17.0°C
20190123,488200,02:00am,17.0°C
20190123,488200,03:00am,17.0°C
20190123,488200,04:00am,16.0°C
20190123,488200,05:00am,17.0°C
20190123,488200,06:00am,16.0°C
20190124,488200,07:00am,16.0°C
20190124,488200,08:00am,17.0°C
20190124,488200,09:00am,17.0°C
20190124,488200,10:00am,18.0°C
20190124,488200,11:00am,18.0°C
20190124,488200,12:00pm,18.0°C
20190124,488200,01:00pm,18.0°C
20190124,488200,02:00pm,19.0°C
20190124,488200,03:00pm,19.0°C
20190124,488200,04:00pm,19.0°C
20190124,488200,05:00pm,19.0°C
20190124,488200,06:00pm,19.0°C
20190124,488200,07:00pm,18.0°C
20190124,488200,08:00pm,18.0°C
20190124,488200,09:00pm,18.0°C
20190124,488200,10:00pm,18.0°C
20190124,488200,11:00pm,18.0°C
20190124,488200,12:00am,17.0°C
20190124,488200,01:00am,17.0°C
20190124,488200,02:00am,17.0°C
20190124,488200,03:00am,17.0°C
20190124,488200,04:00am,17.0°C
20190124,488200,05:00am,17.0°C
20190124,488200,06:00am,17.0°C
20190125,488200,07:00am,17.0°C
20190125,488200,08:00am,17.0°C
20190125,488200,09:00am,18.0°C
20190125,488200,10:00am,19.0°C
20190125,488200,11:00am,19.0°C
20190125,488200,12:00pm,20.0°C
20190125,488200,01:00pm,19.0°C
20190125,488200,02:00pm,20.0°C
20190125,488200,03:00pm,20.0°C
20190125,488200,04:00pm,20.0°C
20190125,488200,05:00pm,20.0°C
20190125,488200,06:00pm,19.0°C
20190125,488200,07:00pm,19.0°C
20190125,488200,08:00pm,18.0°C
20190125,488200,09:00pm,18.0°C
